last digit,count,digit_frequency,uniform
0,229,0.1820349761526232,0.1
1,124,0.0985691573926868,0.1
2,100,0.0794912559618442,0.1
3,117,0.09300476947535771,0.1
4,114,0.09062003179650238,0.1
5,134,0.10651828298887123,0.1
6,109,0.08664546899841018,0.1
7,108,0.08585055643879173,0.1
8,114,0.09062003179650238,0.1
9,109,0.08664546899841018,0.1
